hamster,mouse
LOC100751946,Or8u9
Rnaseh2b,Rnaseh2b
LOC100751951,Lefty2
Rab14,Rab14
Msn,Msn
Poldip3,Poldip3
Hltf,Hltf
Uevld,Uevld
Odc1,Odc1
LOC100751961,Prl6a1
Zg16,Zg16
Lgals1,Lgals1
Pknox2,Pknox2
Ccno,Ccno
Entpd7,Entpd7
LOC100751973,Or2ag12
Cd6,Cd6
Kbtbd8,Kbtbd8
Plcb1,Plcb1
Rasgef1b,Rasgef1b
Sh3glb1,Sh3glb1
Cd164,Cd164
Mettl17,Mettl17
Tm4sf5,Tm4sf5
Dgkz,Dgkz
Flnc,Flnc
Zdhhc2,Zdhhc2
Hnf4g,Hnf4g
Eif3h,Eif3h
Extl3,Extl3
Rnf170,Rnf170
LOC100752003,H2bl1
Myo9a,Myo9a
Rnpepl1,Rnpepl1
Mdm4,Mdm4
Nme3,Nme3
Tssk2,Tssk2
Kdm3b,Kdm3b
Crkl,Crkl
Prcc,Prcc
Mettl2a,Mettl2
Zswim2,Zswim2
Pole3,Pole3
Gclc,Gclc
Casq2,Casq2
Nt5dc1,Nt5dc1
Thbs2,Thbs2
Pskh1,Pskh1
Epha1,Epha1
Ramp2,Ramp2
Cadps2,Cadps2
Vsx2,Vsx2
LOC100752029,Or5w17
Vamp5,Vamp5
Scn1a,Scn1a
Smarcc2,Smarcc2
Hecw1,Hecw1
Hephl1,Hephl1
Plxnb3,Plxnb3
Ncapg2,Ncapg2
Arap3,Arap3
Dnajc17,Dnajc17
Cpn1,Cpn1
Izumo1,Izumo1
LOC100752051,Or5k3
Bri3bp,Bri3bp
Wdr17,Wdr17
Stk33,Stk33
LOC100752058,Klk12
Tbx20,Tbx20
LOC100752061,Syngap1
Rasa3,Rasa3
Cfap97,Cfap97
Agmat,Agmat
Sik1,Sik1
Prr14,Prr14
Abcc6,Abcc6
LOC100752072,Krt72
Wdr37,Wdr37
Cenpf,Cenpf
Opn4,Opn4
Mroh7,Mroh7
Ncapd3,Ncapd3
Rnft2,Rnft2
Mfsd14b,Mfsd14b
Galk2,Galk2
Stt3b,Stt3b
Slc35d3,Slc35d3
Ccdc42,Ccdc42
Toe1,Toe1
Spryd3,Spryd3
Nfe2l2,Nfe2l2
LOC100752103,P2rx4
Gja8,Gja8
Arnt,Arnt
Bclaf3,Bclaf3
Slc36a4,Slc36a4
Eif3a,Eif3a
Zmynd10,Zmynd10
Bsdc1,Bsdc1
Rnf2,Rnf2
Ptpro,Ptpro
Cth,Cth
Slc27a3,Slc27a3
Rlf,Rlf
Osr1,Osr1
Mtf1,Mtf1
Ubl7,Ubl7
Rdx,Rdx
Bpifc,Bpifc
Kitlg,Kitl
LOC100752140,Or2t1
Fabp7,Fabp7
Insl5,Insl5
Mpp2,Mpp2
Syde1,Syde1
Trmt10b,Trmt10b
Nkain3,Nkain3
Ddias,Ddias
Plekho2,Plekho2
Gpr182,Gpr182
Slc11a1,Slc11a1
LOC100752159,Pitx3
Mpdz,Mpdz
Gtdc1,Gtdc1
Ganab,Ganab
LOC100752163,Or11g2
Txlng,Txlng
Pfdn1,Pfdn1
Pcolce,Pcolce
Ckmt2,Ckmt2
Rnf32,Rnf32
Lyrm1,Lyrm1
Twf1,Twf1
Lpar4,Lpar4
LOC100752180,Or4k15
Lim2,Lim2
Sdr42e1,Sdr42e1
LOC100752183,Or52w1
Fam168a,Fam168a
Tec,Tec
Tasor,Tasor
Prr5,Prr5
Sbds,Sbds
Dclre1c,Dclre1c
Il1f10,Il1f10
Oaz2,Oaz2
Dnajb14,Dnajb14
LOC100752202,Henmt1
LOC100752211,Cyb5r1
LOC100752212,Or8b50
Abhd8,Abhd8
Cdkn3,Cdkn3
Cep55,Cep55
St7,St7
Fcsk,Fcsk
Vps4b,Vps4b
Mphosph8,Mphosph8
Gins4,Gins4
Ube3b,Ube3b
Mpo,Mpo
Rhbdd3,Rhbdd3
Tomm40,Tomm40
Mrpl42,Mrpl42
Trim13,Trim13
Arhgef28,Arhgef28
Psen2,Psen2
Stmn2,Stmn2
Hps3,Hps3
Spty2d1,Spty2d1
Hpcal1,Hpcal1
Nol12,Nol12
Cplane2,Cplane2
Taf15,Taf15
Sec11a,Sec11a
LOC100752260,Or2ag1
Aif1l,Aif1l
Suclg2,Suclg2
Nrros,Nrros
LOC100752268,Camk2d
Cables1,Cables1
LOC100752273,Arb2a
Nkx3-1,Nkx3-1
Prg4,Prg4
Ppil6,Ppil6
Slc39a2,Slc39a2
Aar2,Aar2
Gltpd2,Gltpd2
Slc1a2,Slc1a2
Micu3,Micu3
Trps1,Trps1
Ints9,Ints9
Ctdspl2,Ctdspl2
Spred2,Spred2
LOC100752294,Tyr
Fnta,Fnta
Nr2e3,Nr2e3
Capn10,Capn10
Cnksr2,Cnksr2
Msrb2,Msrb2
Ggt7,Ggt7
Sh3yl1,Sh3yl1
Mrps34,Mrps34
H1-6,H1f6
Tssk1b,Tssk1
Gfra3,Gfra3
Aifm3,Aifm3
Itgav,Itgav
Alad,Alad
Klhl31,Klhl31
Tspan2,Tspan2
LOC100752320,Tas2r143
Ccser2,Ccser2
LOC100752322,Aarsd1
Dcaf4,Dcaf4
LOC100752325,Or5w15
Mat2a,Mat2a
Nr4a3,Nr4a3
Arid4b,Arid4b
Slc6a8,Slc6a8
Micos10,Micos10
Dcstamp,Dcstamp
Fchsd1,Fchsd1
Rmdn3,Rmdn3
Hif1an,Hif1an
Wdr38,Wdr38
Bcat2,Bcat2
Lgmn,Lgmn
Znf394,Zkscan14
Trim66,Trim66
Rab40b,Rab40b
Klk10,Klk10
Dpy19l2,Dpy19l2
Lin7c,Lin7c
Ipo7,Ipo7
Fhad1,Fhad1
Tshz1,Tshz1
Nr2f1,Nr2f1
LOC100752363,Nomo1
Ddx20,Ddx20
Atl3,Atl3
Idi1,Idi1
Prox1,Prox1
Wapl,Wapl
P3h2,P3h2
Acot11,Acot11
Fbxw8,Fbxw8
Gadl1,Gadl1
Map3k5,Map3k5
Msx1,Msx1
Dtd2,Dtd2
Odf4,Odf4
Mutyh,Mutyh
Soat2,Soat2
Mymk,Mymk
Orai1,Orai1
Rgn,Rgn
Tgm3,Tgm3
Map7d2,Map7d2
Ctnnd2,Ctnnd2
Sh3bgrl2,Sh3bgrl2
Tdrd5,Tdrd5
Dennd10,Dennd10
LOC100752412,Or6k8-ps1
Lrtm2,Lrtm2
Hyal2,Hyal2
Pcdh17,Pcdh17
Prmt2,Prmt2
Tssk3,Tssk3
Trmt1l,Trmt1l
LOC100752419,Cryzl2
Ptger3,Ptger3
Npr1,Npr1
Tmco2,Tmco2
Ddx39a,Ddx39a
LOC100752428,Prtn3
LOC100752430,Ppfia2
Tmtc3,Tmtc3
Calcoco2,Calcoco2
Kctd20,Kctd20
Clvs2,Clvs2
Dynlt5,Dynlt5
Ilvbl,Ilvbl
Pax5,Pax5
Fuca1,Fuca1
Pdcd2,Pdcd2
Ntmt2,Ntmt2
Slc6a12,Slc6a12
Wdr48,Wdr48
LOC100752448,Prcp
Hacd3,Hacd3
Zbtb39,Zbtb39
Oplah,Oplah
Atp13a4,Atp13a4
Akt3,Akt3
Zeb2,Zeb2
Syap1,Syap1
LOC100752458,Zfp160
Slc4a9,Slc4a9
Actl9,Actl9
Nsmf,Nsmf
Mospd3,Mospd3
Tigd2,Tigd2
Zcchc9,Zcchc9
Dcun1d3,Dcun1d3
Septin11,Septin11
LOC100752473,Or4n5
Nkg7,Nkg7
Plcg2,Plcg2
Relt,Relt
Arhgap35,Arhgap35
Vamp1,Vamp1
Ccdc66,Ccdc66
Pigl,Pigl
Meig1,Meig1
Il36rn,Il36rn
Rbpms2,Rbpms2
Slc6a11,Slc6a11
Chrm4,Chrm4
Cacybp,Cacybp
Parp8,Parp8
Adipor1,Adipor1
Armc6,Armc6
Ffar4,Ffar4
Sf3b3,Sf3b3
Lrrn2,Lrrn2
Max,Max
Zcchc2,Zcchc2
Cenpj,Cenpj
Golga7,Golga7
Kctd10,Kctd10
Tspoap1,Tspoap1
Galt,Galt
Rasl10a,Rasl10a
Clptm1,Clptm1
LOC100752526,Or5j3
Vstm5,Vstm5
Spryd7,Spryd7
Ptprn2,Ptprn2
Coq8a,Coq8a
Hey1,Hey1
Dab2ip,Dab2ip
Mettl4,Mettl4
Tsg101,Tsg101
Rrm2,Rrm2
Asb5,Asb5
Cend1,Cend1
Spn,Spn
Arhgef19,Arhgef19
Slfn14,Slfn14
Znf688,Zfp688
LOC100752553,Dhrs7
LOC100752556,Dnmbp
Nup214,Nup214
Leo1,Leo1
Slc38a6,Slc38a6
LOC100752562,Abcf2
Nxph2,Nxph2
Bmp2,Bmp2
Wdr53,Wdr53
Tmem50a,Tmem50a
Themis,Themis
Cog1,Cog1
LOC100752571,Ppp3ca
Igsf9b,Igsf9b
Adamdec1,Adamdec1
Nrdc,Nrdc
Foxk2,Foxk2
Mical1,Mical1
Ndrg2,Ndrg2
Dlgap4,Dlgap4
Pld2,Pld2
Acsl3,Acsl3
Smg1,Smg1
Msra,Msra
Hgsnat,Hgsnat
Thsd4,Thsd4
Klhl34,Klhl34
Sntg2,Sntg2
Spsb3,Spsb3
Cdc23,Cdc23
Mrc2,Mrc2
Mlip,Mlip
Nrn1l,Nrn1l
Tas2r41,Tas2r126
Nags,Nags
Sh2d6,Sh2d6
Zc3h10,Zc3h10
Dusp9,Dusp9
Nbl1,Nbl1
Dpys,Dpys
LOC100752638,Or5au1
Hdac3,Hdac3
Rpusd2,Rpusd2
Ndufb8,Ndufb8
Ppp6c,Ppp6c
Hsd17b14,Hsd17b14
Rom1,Rom1
Fstl5,Fstl5
Rin3,Rin3
Ptcd1,Ptcd1
Ptchd3,Ptchd3
LOC100752653,Klk9
Lgr4,Lgr4
Rgl2,Rgl2
Znf143,Zfp143
Efhd2,Efhd2
Upp1,Upp1
LOC100752666,Rtn3
Rtl3,Rtl3
Rwdd4,Rwdd4a
Fam151a,Fam151a
Ar,Ar
Map7,Map7
Drd5,Drd5
Ccdc186,Ccdc186
Gpr33,Gpr33
Arhgef15,Arhgef15
Hpdl,Hpdl
Tns2,Tns2
Trpm7,Trpm7
Spmip10,Spmip10
Hoxd10,Hoxd10
Pdzk1,Pdzk1
Clba1,Clba1
Rbm10,Rbm10
Mast4,Mast4
Cdk5rap3,Cdk5rap3
Gla,Gla
Nphs2,Nphs2
LOC100752716,Or6k2
Adipor2,Adipor2
Hyal1,Hyal1
Ybey,Ybey
Hdac1,Hdac1
Wnt2,Wnt2
Swt1,Swt1
Zranb2,Zranb2
Snapin,Snapin
Zmpste24,Zmpste24
Pkn1,Pkn1
Epha10,Epha10
Elane,Elane
Ddx10,Ddx10
Col12a1,Col12a1
Anxa11,Anxa11
Rlig1,Rlig1
Synpr,Synpr
Stk38,Stk38
LOC100752741,Hsf2
Sgip1,Sgip1
Grhpr,Grhpr
Cnr2,Cnr2
Agmo,Agmo
Slc6a13,Slc6a13
Csrnp1,Csrnp1
Zbtb14,Zbtb14
Igdcc4,Igdcc4
Myo1a,Myo1a
Hes1,Hes1
Adamts10,Adamts10
Tfr2,Tfr2
Acot12,Acot12
Nom1,Nom1
Dnah3,Dnah3
Ccni,Ccni
LOC100752775,Or4k5
Cldnd2,Cldnd2
Gas8,Gas8
Fhip1b,Fhip1b
P2ry6,P2ry6
Mrpl51,Mrpl51
Wbp4,Wbp4
Lrr1,Lrr1
Trpv2,Trpv2
Acbd7,Acbd7
Pop4,Pop4
Fndc7,Fndc7
Mdk,Mdk
Pamr1,Pamr1
Mrps14,Mrps14
Ibsp,Ibsp
Patl1,Patl1
Emb,Emb
Klhl12,Klhl12
Ktn1,Ktn1
Pde6c,Pde6c
Nfasc,Nfasc
Gsg1,Gsg1
Commd7,Commd7
Lztr1,Lztr1
Nek5,Nek5
Foxn4,Foxn4
Supt4h1,Supt4a
Sigmar1,Sigmar1
Ap1b1,Ap1b1
Relb,Relb
Med17,Med17
Eda2r,Eda2r
Sde2,Sde2
Zbtb10,Zbtb10
Tab3,Tab3
Hlcs,Hlcs
Nfam1,Nfam1
Taf1b,Taf1b
Spata4,Spata4
Slc25a22,Slc25a22
Slx1a,Slx1b
Epha2,Epha2
Krt2,Krt2
Cutc,Cutc
Trmt5,Trmt5
Pdzrn3,Pdzrn3
Tmem14a,Tmem14a
Fbxo21,Fbxo21
Dock5,Dock5
Wdr45b,Wdr45b
Mink1,Mink1
Pdzrn4,Pdzrn4
Atp6v1f,Atp6v1f
Gldn,Gldn
LOC100752889,Prss51
Frmd5,Frmd5
Rab1a,Rab1a
Kcnu1,Kcnu1
Lrrc49,Lrrc49
Acss2,Acss2
Nubp2,Nubp2
LOC100752904,H1f2
Islr,Islr
Klhl22,Klhl22
Wnt8a,Wnt8a
Isg20l2,Isg20l2
Wdr31,Wdr31
Sycp1,Sycp1
Edc4,Edc4
LOC100752918,Or10ac1
Tmem101,Tmem101
Vat1,Vat1
LOC100752921,Ppid
Heatr4,Heatr4
LOC100752923,Or5w13
Ttc21b,Ttc21b
Rb1,Rb1
Grb14,Grb14
Znf219,Zfp219
Diaph1,Diaph1
Ccdc32,Ccdc32
Lurap1l,Lurap1l
Mta2,Mta2
Rgs7bp,Rgs7bp
Slc24a4,Slc24a4
Gpr68,Gpr68
Nrip3,Nrip3
LOC100752953,Klk8
Cilk1,Cilk1
Rps18,Rps18
Swap70,Swap70
Sc5d,Sc5d
Slc16a14,Slc16a14
G3bp2,G3bp2
LOC100752965,Bltp1
Lcn2,Lcn2
Zfta,Zfta
Enah,Enah
Sfmbt1,Sfmbt1
Mrpl37,Mrpl37
Celf3,Celf3
LOC100752976,Or51a8
LOC100752980,Vmn2r76
Slc2a9,Slc2a9
Olfm1,Olfm1
Ctc1,Ctc1
Csn3,Csn3
Abhd12b,Abhd12b
Marchf3,Marchf3
Hoxd12,Hoxd12
Polr3c,Polr3c
Sema6c,Sema6c
LOC100753011,Or7d10
LOC100753015,Vcf2
Wnt5b,Wnt5b
Naa80,Naa80
Mcm3ap,Mcm3ap
Cav1,Cav1
Brinp2,Brinp2
Negr1,Negr1
S100a16,S100a16
Ptger1,Ptger1
Cdca8,Cdca8
Kiss1r,Kiss1r
Zc3h12c,Zc3h12c
Cep290,Cep290
Thoc7,Thoc7
Srsf3,Srsf3
Serinc1,Serinc1
Emp1,Emp1
Pnrc2,Pnrc2
Meox2,Meox2
Rgmb,Rgmb
Fmo4,Fmo4
Usp18,Usp18
Cx3cr1,Cx3cr1
Ankrd42,Ankrd42
Igdcc3,Igdcc3
Nab2,Nab2
Grina,Grina
Cntrl,Cntrl
Sufu,Sufu
Ttc5,Ttc5
Uri1,Uri1
Actl6b,Actl6b
Pdcd11,Pdcd11
Stk17b,Stk17b
Ccng2,Ccng2
Etfb,Etfb
Vps9d1,Vps9d1
Mad2l1,Mad2l1
Arhgef17,Arhgef17
Npas1,Npas1
Adgrb3,Adgrb3
Ncapd2,Ncapd2
Wnt5a,Wnt5a
Ostc,Ostc
Rpp38,Rpp38
Rab3b,Rab3b
Rfc1,Rfc1
LOC100753100,Arpin
Ambra1,Ambra1
Tnn,Tnn
Miga2,Miga2
Mepe,Mepe
LOC100753107,Ms4a1
Hcn1,Hcn1
Kif3b,Kif3b
Thap7,Thap7
Acacb,Acacb
Rnf43,Rnf43
Arid3c,Arid3c
Nefh,Nefh
Decr1,Decr1
Nudt4,Nudt4
CUNH11orf54,4931406C07Rik
Sap30bp,Sap30bp
Nhlrc3,Nhlrc3
Polr1h,Polr1h
Gk,Gk
Sim2,Sim2
Tmem86a,Tmem86a
Klf11,Klf11
Spcs3,Spcs3
Pidd1,Pidd1
Mapk3,Mapk3
Ei24,Ei24
Sec23ip,Sec23ip
Slc25a28,Slc25a28
Myo5c,Myo5c
LOC100753162,Or6c33
Shq1,Shq1
Rnf168,Rnf168
Setd4,Setd4
Sstr2,Sstr2
LOC100753172,Gsta3
Opcml,Opcml
Rfc5,Rfc5
Kctd9,Kctd9
Nxf1,Nxf1
Thumpd3,Thumpd3
LOC100753182,Or6f2
Pgm1,Pgm1
LOC100753186,Renbp
Dmxl2,Dmxl2
LOC100753188,Prss55
Wdr76,Wdr76
LOC100753190,Paics
Bag4,Bag4
Hpx,Hpx
Sned1,Sned1
Gss,Gss
Cdk17,Cdk17
Igfals,Igfals
Stoml1,Stoml1
Pkd2l2,Pkd2l2
LOC100753207,Lao1
Crabp2,Crabp2
Ace3,Ace3
Zc3h15,Zc3h15
Rnf183,Rnf183
Fbxl21p,Fbxl21
Ube2z,Ube2z
Tma16,Tma16
LOC100753218,Tcaf3
G6pc3,G6pc3
Cnp,Cnp
Fnip2,Fnip2
LOC100753223,Or5w12
Tcf7l1,Tcf7l1
Galnt3,Galnt3
Calcrl,Calcrl
Gdf11,Gdf11
Slc38a11,Slc38a11
Atp2b3,Atp2b3
Timp4,Timp4
LOC100753238,Pcdhgc5
Nucb1,Nucb1
Neurod4,Neurod4
LOC100753248,Nt5el
Rps6ka5,Rps6ka5
Metrnl,Metrnl
LOC100753252,Klk6
Sra1,Sra1
LOC100753254,Gsta4
Vps52,Vps52
Wee1,Wee1
Trip12,Trip12
Slc10a4,Slc10a4
Gtpbp4,Gtpbp4
LOC100753269,Stimate
Irf2,Irf2
LOC100753272,Cyb5rl
LOC100753273,Or52r1
LOC100753275,Mmgt2
Pde7b,Pde7b
Wdr1,Wdr1
Gspt1,Gspt1
Parvg,Parvg
Aurkb,Aurkb
Urod,Urod
Usp8,Usp8
Pygl,Pygl
Hoxd13,Hoxd13
Setd1b,Setd1b
Pias3,Pias3
Pip5k1a,Pip5k1a
Jag2,Jag2
Rabif,Rabif
Ccdc124,Ccdc124
Pnpo,Pnpo
Cnn1,Cnn1
Alas2,Alas2
Erc1,Erc1
Hyal3,Hyal3
Eif3i,Eif3i
LOC100753320,Fra10ac1
Astn1,Astn1
Il34,Il34
Exo5,Exo5
Gipc1,Gipc1
Dytn,Dytn
Airim,Airim
Wdr18,Wdr18
Exph5,Exph5
Smpdl3a,Smpdl3a
Lrit1,Lrit1
Notch3,Notch3
Frmpd1,Frmpd1
Nipal3,Nipal3
Dgkb,Dgkb
Fmo2,Fmo2
Ccr8,Ccr8
Pcf11,Pcf11
Parp16,Parp16
Gsn,Gsn
Kcnip2,Kcnip2
Zpbp,Zpbp
Ccnb1ip1,Ccnb1ip1
Ccne1,Ccne1
Eif3l,Eif3l
Myo1f,Myo1f
Pnpla7,Pnpla7
Gigyf1,Gigyf1
Ssbp2,Ssbp2
Lmbr1,Lmbr1
Tpd52l1,Tpd52l1
Calhm2,Calhm2
LOC100753373,Siglecl2
Ccdc184,Ccdc184
LOC100753375,Sult5a1
Mcoln3,Mcoln3
Tmc1,Tmc1
Lmbrd1,Lmbrd1
Synpo2,Synpo2
Cacna2d3,Cacna2d3
Mgat2,Mgat2
Txndc12,Txndc12
Znf251,Zfp251
Rnf213,Rnf213
Myo1b,Myo1b
Prr5l,Prr5l
Sh3glb2,Sh3glb2
Ms4a12,Ms4a12
Ppme1,Ppme1
Mrps30,Mrps30
Ppp1r16a,Ppp1r16a
Atg14,Atg14
Siah3,Siah3
Ivns1abp,Ivns1abp
Tnfrsf11a,Tnfrsf11a
Pofut1,Pofut1
Smpd4,Smpd4
Vegfc,Vegfc
Ung,Ung
Mtmr4,Mtmr4
Dctn3,Dctn3
Cabp7,Cabp7
Rtl4,Rtl4
Gemin7,Gemin7
Kcnrg,Kcnrg
Unk,Unk
LOC100753432,Ctag2
Rnf39,Rnf39
Rnase13,Rnase13
Tasl,Tasl
Morc3,Morc3
Heph,Heph
Cpsf2,Cpsf2
Ptpn5,Ptpn5
Grhl1,Grhl1
Gdpd3,Gdpd3
Cnmd,Cnmd
Macc1,Macc1
Myo5a,Myo5a
Pdia4,Pdia4
LOC100753459,Or6c219
Cnga4,Cnga4
Dynlt2b,Dynlt2b
Syf2,Syf2
Ntm,Ntm
Wsb2,Wsb2
Plk2,Plk2
Setd5,Setd5
Myl9,Myl9
Pfn1,Pfn1
Il27,Il27
LOC100753481,Or6ae1
Irf5,Irf5
Efcab7,Efcab7
Rp1l1,Rp1l1
Sertad2,Sertad2
Letm2,Letm2
Phex,Phex
Lss,Lss
Trpc4ap,Trpc4ap
Lta4h,Lta4h
Meiob,Meiob
LOC100753502,H2bc3
Slc2a1,Slc2a1
Bcan,Bcan
Map3k3,Map3k3
Prpf4,Prpf4
LOC100753513,Cetn2
Snf8,Snf8
Thap11,Thap11
LOC100753518,Tcaf1
Dnajc7,Dnajc7
Tuba8,Tuba8
Csrnp3,Csrnp3
Ctnnd1,Ctnnd1
Usp38,Usp38
Cobll1,Cobll1
Haus7,Haus7
Rnf186,Rnf186
Tamm41,Tamm41
LOC100753541,Brcc3dc
Dhdh,Dhdh
LOC100753547,Or9k7
Rnf180,Rnf180
Dglucy,Dglucy
Ralgapa1,Ralgapa1
Tbcd,Tbcd
LOC100753553,Klk7
Slc35a4,Slc35a4
Elovl5,Elovl5
Sorl1,Sorl1
Fbxo36,Fbxo36
LOC100753562,Ddi2
Sun3,Sun3
Fryl,Fryl
Ciz1,Ciz1
Spindoc,Spindoc
Degs1,Degs1
Mustn1,Mustn1
Cenpu,Cenpu
Efnb2,Efnb2
Cmc1,Cmc1
Myb,Myb
Zfp64,Zfp64
Tnfrsf17,Tnfrsf17
Parvb,Parvb
Vamp2,Vamp2
Eif2b3,Eif2b3
Gabpb1,Gabpb1
Col3a1,Col3a1
Prrc1,Prrc1
Arhgap20,Arhgap20
Nudt17,Nudt17
Brf1,Brf1
Ppp1r12b,Ppp1r12b
Uaca,Uaca
Slc5a5,Slc5a5
Ankle1,Ankle1
Pde6h,Pde6h
Sp6,Sp6
Ecsit,Ecsit
Deup1,Deup1
Btg3,Btg3
Slamf7,Slamf7
Capza2,Capza2
Samd12,Samd12
Rnf144a,Rnf144a
Msto1,Msto1
Rims3,Rims3
Wdr83,Wdr83
Grin3b,Grin3b
Poglut3,Poglut3
Fbxo7,Fbxo7
Ppil1,Ppil1
Atf7ip,Atf7ip
Gpr15lg,Gpr15lg
Exosc3,Exosc3
Rcan3,Rcan3
Dlec1,Dlec1
Taf1d,Taf1d
Cabyr,Cabyr
Ppargc1a,Ppargc1a
Stom,Stom
Vwc2,Vwc2
Oprk1,Oprk1
Parp2,Parp2
Neto1,Neto1
Zmynd11,Zmynd11
Sem1,Sem1
Mrpl41,Mrpl41
Pop7,Pop7
Orai3,Orai3
Hddc2,Hddc2
Calhm1,Calhm1
LOC100753672,Or2d4
Trappc2l,Trappc2l
Slc39a11,Slc39a11
Fam135a,Fam135a
Il17rb,Il17rb
LOC100753687,Klhdc1
Etnppl,Etnppl
Dhtkd1,Dhtkd1
Bpifb1,Bpifb1
LOC100753692,Ms4a18
Atg13,Atg13
Kiaa0586,2700049A03Rik
Traf6,Traf6
Tnr,Tnr
LOC100753702,Nup188
Sh2d7,Sh2d7
Rpap3,Rpap3
Wdhd1,Wdhd1
Zc3h13,Zc3h13
Cntn2,Cntn2
Plagl2,Plagl2
Neil3,Neil3
Alkbh2,Alkbh2
Cntfr,Cntfr
Lhfpl1,Lhfpl1
Ppp1r37,Ppp1r37
Wbp2,Wbp2
Capza3,Capza3
Mtcp1,Mtcp1
Trim40,Trim40
Tubgcp6,Tubgcp6
Pnpla2,Pnpla2
Kctd13,Kctd13
Pcdh8,Pcdh8
LOC100753755,Bpifa5
Inpp5f,Inpp5f
Foxp1,Foxp1
Cavin3,Cavin3
Slc51a,Slc51a
Adgrd1,Adgrd1
Pebp1,Pebp1
Snx27,Snx27
Gapt,Gapt
Tmem223,Tmem223
Tpr,Tpr
Slc22a16,Slc22a16
Tgif2,Tgif2
Kif1c,Kif1c
Mrps18a,Mrps18a
Nupr1,Nupr1
Alg6,Alg6
Hypk,Hypk
LOC100753793,Or8s5
Ano7,Ano7
Smpx,Smpx
Apex2,Apex2
Pappa2,Pappa2
Vac14,Vac14
LOC100753801,Edem2
Hal,Hal
Msrb1,Msrb1
Tbc1d21,Tbc1d21
Srp19,Srp19
Ermap,Ermap
Gpatch4,Gpatch4
Cdc26,Cdc26
Tgfbi,Tgfbi
Gip,Gip
Mtdh,Mtdh
Cenpt,Cenpt
LOC100753820,Or2f1
Asb16,Asb16
Nkiras2,Nkiras2
Znf146,Zfp146
Kcmf1,Kcmf1
Pex26,Pex26
Bhlha9,Bhlha9
Tnfsf8,Tnfsf8
Pla2g2e,Pla2g2e
LOC100753836,Or9a4
Vgll4,Vgll4
Stat6,Stat6
Armh3,Armh3
Cul9,Cul9
Syt1,Syt1
Pkd2l1,Pkd2l1
Ahnak,Ahnak
LOC100753848,Or5h26
Cp,Cp
Htr1a,Htr1a
Ccdc88c,Ccdc88c
LOC100753853,Aldoart2
Add2,Add2
LOC100753862,Kctd12b
Cdkl2,Cdkl2
Dnm1,Dnm1
Larp4b,Larp4b
Itih4,Itih4
Primpol,Primpol
Lpp,Lpp
Nop2,Nop2
Eomes,Eomes
Tekt3,Tekt3
LOC100753880,Hc
Lclat1,Lclat1
Medag,Medag
Snx29,Snx29
Spa17,Spa17
Per1,Per1
Ptch2,Ptch2
Hdc,Hdc
Nkd2,Nkd2
Lnpk,Lnpk
Pou2af2,Pou2af2
Ankrd35,Ankrd35
Pacs2,Pacs2
Lpar2,Lpar2
Arhgdib,Arhgdib
Scrn2,Scrn2
Wrn,Wrn
Prkcsh,Prkcsh
Stx6,Stx6
Ccdc77,Ccdc77
Lgi1,Lgi1
Rsad2,Rsad2
Runx2,Runx2
Nfyc,Nfyc
Dnajb1,Dnajb1
Eef1b2,Eef1b2
Gnl2,Gnl2
Tmem259,Tmem259
Rtcb,Rtcb
Septin4,Septin4
C1H6orf89,BC004004
Ghitm,Ghitm
Ephx3,Ephx3
Plxna4,Plxna4
Slf1,Slf1
Prrx1,Prrx1
Kdm4d,Kdm4d
Stoml3,Stoml3
Tep1,Tep1
LOC100753954,Cbln2
Chrm3,Chrm3
Dph7,Dph7
Epo,Epo
Gpr22,Gpr22
Adgra3,Adgra3
Calhm3,Calhm3
LOC100753969,Or6b9
LOC100753971,Siglecg
Asb8,Asb8
Galns,Galns
Lca5l,Lca5l
Syde2,Syde2
Nlrp14,Nlrp14
Dnaaf2,Dnaaf2
Cdc123,Cdc123
LOC100753984,Bpifb5
Ms4a8,Ms4a8a
Lhfpl4,Lhfpl4
Aatk,Aatk
Egfl7,Egfl7
Tnpo3,Tnpo3
Suco,Suco
Cib2,Cib2
Endou,Endou
Veph1,Veph1
Marchf4,Marchf4
Psd3,Psd3
Gmfb,Gmfb
Rbbp5,Rbbp5
Sdcbp,Sdcbp
Bpifb4,Bpifb4
Aga,Aga
Ank1,Ank1
Svop,Svop
Tktl2,Tktl2
Dnai1,Dnai1
Alg13,Glt28d2
Trappc6a,Trappc6a
Clcn5,Clcn5
LOC100754026,Or5t7
Sema3d,Sema3d
Engase,Engase
Adad1,Adad1
Exoc7,Exoc7
Plcz1,Plcz1
Mapk12,Mapk12
Zmym3,Zmym3
Zbtb17,Zbtb17
Sugt1,Sugt1
LOC100754051,Bpifa1
Mcmbp,Mcmbp
Slain2,Slain2
Znf786,Zfp786
Cckbr,Cckbr
Tnk2,Tnk2
Plppr4,Plppr4
Taok3,Taok3
Rab3c,Rab3c
Cdk19,Cdk19
Sla2,Sla2
Scimp,Scimp
Ms4a5,Ms4a5
LOC100754077,Eif3c
Sprn,Sprn
Sox7,Sox7
Peli1,Peli1
Tacc1,Tacc1
Oc90,Oc90
Mtbp,Mtbp
Tle3,Tle3
Mllt10,Mllt10
Pfkfb1,Pfkfb1
Ftcd,Ftcd
Rasal2,Rasal2
Cmtr2,Cmtr2
Procr,Procr
Amdhd1,Amdhd1
Mrpl28,Mrpl28
Ash1l,Ash1l
Insyn1,Insyn1
